Jet #1 Particle Count: 35
 452 453 454 455 456 457 636 637 638 640 642 643 644 753 754 755 756 757 758 759 760 761 762 858 859 860 861 862 863 923 924 925 926 927 928
Jet #2 Particle Count: 19
 338 342 593 707 708 710 711 712 713 832 833 892 893 970 971 973 974 990 991
Jet #3 Particle Count: 47
 392 395 396 400 404 406 607 608 609 610 611 613 615 617 620 733 734 735 736 737 738 739 740 742 743 842 843 844 845 846 847 884 885 886 887 913 914 917 918 919 920 921 975 976 977 978 979
Jet #4 Particle Count: 63
 470 471 475 478 483 484 489 491 493 646 647 648 649 650 651 652 653 654 655 772 773 774 775 776 779 780 781 782 783 784 785 787 788 790 929 930 931 932 933 934 935 936 937 938 939 940 941 942 943 945 946 948 949 982 983 985 986 987 996 997 999 1001 1002
Jet #5 Particle Count: 40
 419 421 423 430 431 432 433 435 622 623 624 626 628 629 631 632 634 745 746 747 748 749 750 752 848 849 850 851 852 853 854 855 856 857 888 889 992 993 994 995
nJets: 5
id pT eta phi m
22 4.35562974715 1.09868035329 2.07584027886 0
22 3.03701940027 1.06254164952 2.08427767916 0
22 11.7069921791 1.11989164087 2.05057550561 0
22 11.6679508142 1.10964159515 2.0558969935 0
22 1.07131308978 1.4149811063 1.61577407937 0
22 0.155042870671 0.77164315282 2.87065694185 0
-211 3.41407605376 1.73836350877 -1.70541893091 0.13957
22 0.169942757462 1.6058239202 -1.44458236501 0
22 0.0116106235582 3.91289957947 -2.54258262555 0
22 0.0922753854504 0.222797169483 -1.92810830364 0
22 0.124451274887 1.39573073202 -2.14213606069 0
22 0.133629720163 1.84896719203 2.13833735628 0
22 0.122996694836 1.05694027378 2.82061592477 0
22 0.374898680767 -2.21916127522 -0.0989880735296 0
22 0.316836923338 -3.64741932482 -0.440742147777 0
22 0.210969737906 -2.69278179974 -2.55240759527 0
22 0.731531453268 -2.42724430379 -2.76993042791 0
22 0.0772870756734 4.36059816139 -1.79691008161 0
22 0.10688874315 5.66005535805 -1.27578692782 0
22 0.0752809754245 2.72242042661 2.29245291814 0
22 0.671843560081 3.18134443533 1.90812211441 0
2212 0.836582327809 1.13019120218 -0.167227367545 0.93827
22 0.311231170281 1.18975580665 -0.596790118263 0
22 0.14235612775 1.30847863178 -0.891056554221 0
