0.9
node parent1 parent2 dist pt eta phi m
316 42 296 0.0853659815086 3.0689392359 0.524432259466 -1.12766475306 0.440197575591
42 -1 -1 0 1.05953942285 0.662808718018 -1.16140809302 0.13957
296 212 242 0.0593289678554 2.0103207809 0.447259244773 -1.10988276581 0.150935433732
212 127 129 0.00795345118031 1.46508156734 0.423648131354 -1.07086141573 0.0117337833749
127 -1 -1 0 0.15248681349 0.440888925309 -1.08681272174 0
129 -1 -1 0 1.3126164066 0.421630849711 -1.06900842802 0
242 47 128 0.0206353874894 0.549335884464 0.506035662274 -1.21411512836 0.0133447121081
47 -1 -1 0 0.102855881786 0.457289805959 -1.20005105435 0
128 -1 -1 0 0.44649251806 0.51709972448 -1.21735488607 0
329 46 314 0.108978811202 4.9721560024 0.698537609822 -1.46192148333 1.00797095866
46 -1 -1 0 0.540328739126 0.998402154085 -1.36702359358 0
314 37 277 0.0823101627078 4.43455400229 0.657246213235 -1.4734672368 0.783340284735
37 -1 -1 0 0.501036779583 0.607172094265 -1.70720541614 0.13957
277 36 148 0.0417889381354 3.94884729488 0.661267784509 -1.44407519728 0.51270595219
36 -1 -1 0 3.8238144901 0.665127968306 -1.44691114056 0.49368
148 -1 -1 0 0.125517498079 0.53715322368 -1.35757217994 0
